canal,disposit,cdgtrn,cdgrpta,grupo_descrp_trxn,descrip_trxn,clasif_trxn,descripcion_grupo,descrip_cod_rpta,clasif_cod_rpta,grupo_modifcado,culpa_banco,producto_asociado
CANAL_5,DISPOSIT_4,491.0,445.0,Consulta Cuentas Inscritas Banco,Consulta Cuentas Inscritas Banco,No considerar,No considerar,Fid:Error Generico Falla Fondos Transf A Fondos,No Exitosa,NA,SI,Sin producto
CANAL_4,DISPOSIT_9,383.0,205.0,Regeneracion de Clave,Regeneracion De Clave Por Olvido,No Financiera,Claves,La Clave Del Usuario A Crear Debe Ser De 8 Digitos,Tecnicamente Exitosa,Claves,NO,Sin producto
CANAL_2,DISPOSIT_11,505.0,305.0,Desembolso Desde Cupo De Credito,Desembolso Desde Cupo De Credito Audioprestamo A Cuenta De Ahorros,Financiera,Utilizacion de cupo de credito,Valor De La Utilizacion Es Mayor Al Disponible,Tecnicamente Exitosa,Utilizacion de cupo de credito,NO,Audioprestamo
CANAL_6,DISPOSIT_4,638.0,705.0,Transferencia A Otros Bancos,Transferencia A Otros Bancos,Financiera,Transferencias de fondos,Supera Valor Maximo Personalizado,Tecnicamente Exitosa,Transferencias,NO,Tarjeta Debito
CANAL_2,DISPOSIT_10,449.0,0.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Cuenta Corriente,Financiera,Transferencias de fondos,Transaccion Exitosa,Exitosa,Transferencias,NA,Inversiones
CANAL_4,DISPOSIT_9,532.0,218.0,Consulta De Facturas,Consulta De Facturas De Servicios Personales Desde Cuenta De Ahorros.,No considerar,No considerar,Factura No Valida,No Considerar,NA,NO,Cta Ahorros
CANAL_2,DISPOSIT_5,42.0,30.0,Pago De Facturas,Pago De Facturas De Servicios Personales,Financiera,Pago de facturas,Disponible Insuficiente En Cuenta A Debitar,Tecnicamente Exitosa,Pagos,NO,Sin producto
CANAL_2,DISPOSIT_11,200.0,319.0,Consulta de mensajes swift giros directos,Consulta de mensajes swift giros directos,No Financiera,Consultas / Movimientos / Extractos,No Exitosa,No Exitosa,Consultas / Movimientos / Extractos,NO,remesas
CANAL_5,DISPOSIT_4,514.0,382.0,Grabar Constitucion Fiduciaria,Grabar Constitucion- Fid Desde Cartera Colectiva,Financiera,Actualizaciones,Error Al Procesar La Transaccion,No Exitosa,Actualizaciones,SI,Carteras
CANAL_2,DISPOSIT_11,206.0,0.0,Consulta de comisiones Swift,Consulta de comisiones Swift,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Sin producto
CANAL_6,DISPOSIT_4,486.0,642.0,Inscripcion De Cuentas,Inscripcion De Cuentas De Otros Bancos,No Financiera,Inscripciones,Cuenta Pendiente De Confirmacion,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_6,DISPOSIT_4,538.0,97.0,Transferencias de Fondos,Transferencia De Fondos Desde Cuenta De Ahorros,Financiera,Transferencias de fondos,Cuenta Destino No Valida,Tecnicamente Exitosa,Transferencias,NO,Cta Ahorros
CANAL_8,DISPOSIT_3,522.0,30.0,Compra Pse,Compra Pse Desde Cuenta De Ahorros,Financiera,Compras,Disponible Insuficiente En Cuenta A Debitar,Tecnicamente Exitosa,Compras,NO,PSE
CANAL_5,DISPOSIT_4,4400.0,21.0,Cambio de mecanismo a ODA,Cambio de mecanismo a ODA,No considerar,Claves,Bloqueado voluntariamente,Tecnicamente Exitosa,NA,NO,Sin producto
CANAL_5,DISPOSIT_4,432.0,216.0,Consulta De Facturas,Consulta De Facturas De Servicios Personales Desde Cuenta Corriente.,No considerar,No considerar,Factura Ya Esta Cancelada,No considerar,NA,NO,Cta Corriente
CANAL_5,DISPOSIT_4,538.0,31.0,Transferencias de Fondos,Transferencia De Fondos Desde Cuenta De Ahorros,Financiera,Transferencias de fondos,Cuenta Destino Tiene Bloqueos,Tecnicamente Exitosa,Transferencias,NO,Cta Ahorros
CANAL_5,DISPOSIT_1,606.0,404.0,Autenticacion Segunda Clave Links Inteligentes,Autenticacion Segunda Clave Links Inteligentes,No Financiera,Claves,Canal No Valido,Tecnicamente Exitosa,Claves,NO,Sin producto
CANAL_5,DISPOSIT_4,364.0,405.0,Pago De Prestamos,Pago De Credito Hipotecario,Financiera,Pago de Prestamos,Informacion No Disponible En El Momento. Por Favor Intente Mas Tarde,No Exitosa,Pagos,SI,Hipotecario
CANAL_2,DISPOSIT_11,260.0,57.0,Consulta De Saldo Tarjetas,Consulta saldos tarjetas propias Bancolombia,No Financiera,Consultas / Movimientos / Extractos,Tarjeta De Credito No Existe,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Tarjeta Debito
CANAL_3,DISPOSIT_6,432.0,217.0,Consulta De Facturas,Consulta De Facturas De Servicios Personales Desde Cuenta Corriente.,No considerar,No considerar,Factura Vencida,No considerar,NA,NO,Cta Corriente
CANAL_2,DISPOSIT_11,355.0,321.0,Consulta Detalle Prestamos,Consulta Detalle Prestamos,No Financiera,Consultas / Movimientos / Extractos,Pago No Realizado,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Creditos
CANAL_5,DISPOSIT_4,485.0,921.0,Inscripcion De Cuentas,Inscripcion Cuentas Bancolombia,No Financiera,Inscripciones,Cuenta Pendiente De Activacien,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_2,DISPOSIT_10,165.0,332.0,"Validacion De Cedula, Clave Principal Y Consulta De Estado De La Segunda Clave","Validacion De Cedula, Clave Principal Y Consulta De Estado De La Segunda Clave",No considerar,No considerar,Error De Comunicaciones,No Exitosa,NA,SI,Sin producto
CANAL_6,DISPOSIT_4,3100.0,0.0,Enrolamiento a Softoken personas,Enrolamiento a Softoken personas,No Financiera,Claves,Transaccion Exitosa,Exitosa,Claves,NA,Token
CANAL_2,DISPOSIT_5,24.0,5.0,Transferencias de Fondos,Transferencia A Cuentas De Terceros Bancolombia,Financiera,Transferencias de fondos,Respuesta No Conocida,No Exitosa,Transferencias,SI,Tarjeta Debito
CANAL_2,DISPOSIT_11,2000.0,0.0,Consultar Datos Basicos de TDC,Consultar Datos Basicos de TDC,No Financiera,Consulta de datos generales de clientes,Transaccion Exitosa,Exitosa,Consulta de datos generales de clientes,NA,TDC
CANAL_5,DISPOSIT_1,606.0,5.0,Autenticacion Segunda Clave Links Inteligentes,Autenticacion Segunda Clave Links Inteligentes,No Financiera,Claves,Respuesta No Conocida,No Exitosa,Claves,SI,Sin producto
CANAL_4,DISPOSIT_9,383.0,140.0,Regeneracion de Clave,Regeneracion De Clave Por Olvido,No Financiera,Claves,Cuando Se Realiza El Cambio De Clave Esta No Es Valida,No Exitosa,Claves,NO,Sin producto
CANAL_6,DISPOSIT_4,529.0,30.0,Pago De Tarjeta De Credito,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,Financiera,Pago Tarjetas,Disponible Insuficiente En Cuenta A Debitar,Tecnicamente Exitosa,Pagos,NO,TDC
CANAL_2,DISPOSIT_11,174.0,569.0,Consulta Acceso De Emergencia,Consulta Acceso De Emergencia,No considerar,No considerar,Ocurrio un Error en la Aplicacion de Todo1,No Exitosa,NA,SI,Sin producto
CANAL_2,DISPOSIT_10,0.0,844.0,Paso A Operadora,Paso A Operadora Con Clave,No Financiera,Paso Operadora,"Al Preximo Intento No VaLido, Se Bloquea El Pin.",Tecnicamente Exitosa,Paso Operadora,NO,Sin producto
CANAL_2,DISPOSIT_11,203.0,319.0,Consulta FaxMail/MailPoint,Consulta FaxMail/MailPoint,No Financiera,Consultas / Movimientos / Extractos,No Exitosa,No Exitosa,Consultas / Movimientos / Extractos,NO,Sin producto
CANAL_3,DISPOSIT_6,432.0,78.0,Consulta De Facturas,Consulta De Facturas De Servicios Personales Desde Cuenta Corriente.,No considerar,No considerar,Error Desconocido,No considerar,NA,SI,Cta Corriente
CANAL_2,DISPOSIT_10,48.0,0.0,Consulta De Movimientos Deposito,Consulta Movimientos Cuenta De Ahorros,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Cta Ahorros
CANAL_5,DISPOSIT_4,549.0,70.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Financiera,Transferencias de fondos,Timeout,No Exitosa,Transferencias,NO,Inversiones
CANAL_5,DISPOSIT_4,4000.0,0.0,#N/A Transaccion Desconocida,#N/A Transaccion Desconocida,No considerar,#N/A Transaccion desconocida,#N/A Transaccion desconocida,No considerar,NA,NO,Sin producto
CANAL_5,DISPOSIT_4,531.0,34.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Financiera,Pago de facturas,Valor Por Encima De Tope Diario De Transferencia,Tecnicamente Exitosa,Pagos,NO,Cta Ahorros
CANAL_2,DISPOSIT_11,171.0,0.0,Consulta SVE Info Empresa,Consulta SVE Info Empresa,No Financiera,Token,Transaccion Exitosa,Exitosa,Token,NA,Token
CANAL_2,DISPOSIT_5,5.0,50.0,Consulta De Saldo Deposito,Consulta De Saldo Cuenta Ahorros Asociada,No Financiera,Consultas / Movimientos / Extractos,Cuenta No Existe,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Cta Ahorros
CANAL_2,DISPOSIT_10,0.0,0.0,Paso A Operadora,Paso A Operadora Con Clave,No Financiera,Paso Operadora,Transaccion Exitosa,Exitosa,Paso Operadora,NA,Sin producto
CANAL_2,DISPOSIT_11,197.0,0.0,Consulta Tasa Trm,Consulta Tasa Trm,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Sin producto
CANAL_2,DISPOSIT_11,5.0,85.0,Desembolso Desde Cupo De Credito,Desembolso Desde Cupo De Credito Audioprestamo,Financiera,Utilizacion de cupo de credito,Modalidad Del Plan No Valido,No Exitosa,Utilizacion de cupo de credito,NO,Audioprestamo
CANAL_5,DISPOSIT_4,531.0,240.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Financiera,Pago de facturas,La Base De Datos No Se Encuentra Disponible,No Exitosa,Pagos,SI,Cta Ahorros
CANAL_2,DISPOSIT_10,48.0,568.0,Consulta De Movimientos Deposito,Consulta Movimientos Cuenta De Ahorros,No Financiera,Consultas / Movimientos / Extractos,Validacion De Clave Fallida Por Session Key Erronea,No Exitosa,Consultas / Movimientos / Extractos,NO,Cta Ahorros
CANAL_2,DISPOSIT_11,174.0,902.0,Consulta Acceso De Emergencia,Consulta Acceso De Emergencia,No considerar,No considerar,El Cliente No Posee Accesos De Emergencia Registrados,No Exitosa,NA,NO,Sin producto
CANAL_2,DISPOSIT_4,412.0,0.0,Bloqueo De Primera Clave,Bloqueo De Clave Para Cliente Filial,No Financiera,Claves,Transaccion Exitosa,Exitosa,Bloqueos,NA,Inversiones
CANAL_6,DISPOSIT_4,3500.0,0.0,Solicitud OTP ODA,Solicitud OTP ODA,No Financiera,Claves,Transaccion Exitosa,Exitosa,Claves,NA,Sin producto
CANAL_6,DISPOSIT_4,539.0,448.0,Transferencia A Inversion Fiduciaria,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Financiera,Transferencias de fondos,No Existe Cupo Tipo Cliente,No Exitosa,Transferencias,NO,Inversiones
CANAL_6,DISPOSIT_4,464.0,61.0,Consulta De Movimientos Deposito,Consulta Movimientos Cuentas Deposito,No Financiera,Consultas / Movimientos / Extractos,"Sistema No Disponible, Por Favor Intente Mas Tarde",No Exitosa,Consultas / Movimientos / Extractos,SI,Tarjeta Debito
CANAL_5,DISPOSIT_4,445.0,39.0,Consulta De Saldo Prestamos,Consulta De Saldo Audioprestamo,No Financiera,Consultas / Movimientos / Extractos,"Transaccion No Efectuada, Por Favor Intente Mas Tarde",No Exitosa,Consultas / Movimientos / Extractos,SI,Audioprestamo
CANAL_1,DISPOSIT_12,202.0,606.0,Recarga De Celular,Recarga De Celular,Financiera,Recargas,Servicio No Habilitado Comunicate Con El Banco,No Exitosa,Recargas,SI,Recargas
CANAL_4,DISPOSIT_9,317.0,0.0,Consulta De Saldo Deposito,Saldos Consolidados Tiempo Real,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Tarjeta Debito
CANAL_1,DISPOSIT_12,491.0,515.0,Consulta Cuentas Inscritas Banco,Consulta Cuentas Inscritas Banco,No Financiera,Consultas / Movimientos / Extractos,No Tiene Autorizacion Para La Transaccion,No Exitosa,Consultas / Movimientos / Extractos,NO,Sin producto
CANAL_5,DISPOSIT_4,603.0,612.0,Cambio De Segunda Clave,Cambio De Segunda Clave,No Financiera,Claves,Segunda Clave Bloqueada Por Numero De Intentos,Tecnicamente Exitosa,Cambio de Claves,NO,Sin producto
CANAL_2,DISPOSIT_11,611.0,0.0,Consultar Datos de seguridad,Consultar Datos de seguridad,No Financiera,Claves,Transaccion Exitosa,Exitosa,Claves,NA,Sin producto
CANAL_2,DISPOSIT_10,609.0,568.0,Validacion OTP,Validacion OTP,No considerar,Claves,Validacion De Clave Fallida Por Session Key Erronea,No Exitosa,NA,NO,Sin producto
CANAL_2,DISPOSIT_10,20.0,0.0,Contraorden De Cheques,Contraorden De Chequera,No Financiera,Contraordenes / Rangos,Transaccion Exitosa,Exitosa,Contraordenes / Rangos,NA,Cheques
CANAL_2,DISPOSIT_10,549.0,304.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Financiera,Transferencias de fondos,Cupo Cancelado,Tecnicamente Exitosa,Transferencias,NO,Inversiones
CANAL_2,DISPOSIT_11,565.0,0.0,Abono (Pago) Prestamos,Abono (Pago) Prestamos Desde Cuenta De Ahorros,Financiera,Pago de Prestamos,Transaccion Exitosa,Exitosa,Pagos,NA,Creditos
CANAL_6,DISPOSIT_4,3600.0,23.0,Validacion OTP,Validacion OTP,No considerar,Claves,Bloqueado por seguridad,Tecnicamente Exitosa,NA,NO,Sin producto
CANAL_2,DISPOSIT_13,129.0,0.0,Envio Respuesta Cuestionario Evidente,Envio Respuesta Cuestionario Evidente,No Financiera,Consulta de datos generales de clientes,Transaccion Exitosa,Exitosa,Consulta de datos generales de clientes,NA,Sin producto
CANAL_2,DISPOSIT_5,28.0,41.0,Pago De Tarjeta De Credito,Pago De Tarjeta De Credito Propia - No Propia Ivr,Financiera,Pago Tarjetas,Valor Crediagil No Valido,Tecnicamente Exitosa,Pagos,NO,TDC
CANAL_8,DISPOSIT_3,385.0,2.0,Logueo Para Transacciones,Logueo Para Transacciones,No considerar,No considerar,Documento Sin Tarjetas Inscritas,No considerar,NA,NO,Sin producto
CANAL_2,DISPOSIT_10,604.0,610.0,Validacion De Segunda Clave,Validacion De Segunda Clave,No considerar,No considerar,Estado De Clave No Valido Para Ingresar,No considerar,NA,NO,Sin producto
CANAL_2,DISPOSIT_10,410.0,27.0,Consulta De Inversiones Fiduciarias,Consulta De Inversiones Fiduciarias,No Financiera,Consultas / Movimientos / Extractos,Funcion No Autorizada A La Tarjeta Sobre La Cuenta,No Exitosa,Consultas / Movimientos / Extractos,NO,Inversiones
CANAL_2,DISPOSIT_5,64.0,501.0,Inscripcion De Cuentas,Inscripcion Cuentas Bancolombia,No Financiera,Inscripciones,Cuenta beneficiaria ya esta inscrita,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_5,DISPOSIT_4,126.0,819.0,Actualizacion De Informacion,Actualizacion De Informacion Del Contacto,No Financiera,Actualizaciones,Telufono De Residencia Contiene Caracteres,No Exitosa,Actualizaciones,NO,Sin producto
CANAL_8,DISPOSIT_3,5500.0,888.0,Solicitud OTP ODA,Solicitud OTP ODA,No Financiera,Claves,En este momento el sistema no esta disponible. Intente mas tarde,No Exitosa,Claves,SI,Sin producto
CANAL_4,DISPOSIT_9,549.0,70.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Financiera,Transferencias de fondos,Timeout,No Exitosa,Transferencias,NO,Inversiones
CANAL_1,DISPOSIT_12,202.0,32.0,Recarga De Celular,Recarga De Celular,Financiera,Recargas,Cuenta Origen Tiene Bloqueos,Tecnicamente Exitosa,Recargas,NO,Recargas
CANAL_5,DISPOSIT_4,601.0,606.0,Bloqueo De Segunda Clave,Bloqueo De Segunda Clave,No Financiera,Claves,Estado De La Clave No Permitido Para Bloquear,Tecnicamente Exitosa,Bloqueos,NO,Sin producto
CANAL_5,DISPOSIT_4,486.0,642.0,Inscripcion De Cuentas,Inscripcion De Cuentas De Otros Bancos,No Financiera,Inscripciones,Cuenta Pendiente De Confirmacion,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_2,DISPOSIT_10,549.0,37.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Financiera,Transferencias de fondos,Abono Supera El Total De La Deuda,Tecnicamente Exitosa,Transferencias,NO,Inversiones
CANAL_2,DISPOSIT_7,529.0,30.0,Pago De Facturas,Pago De Facturas De Servicios Personales Desde Cuenta De Ahorros,Financiera,Pago de facturas,Disponible Insuficiente En Cuenta A Debitar,Tecnicamente Exitosa,Pagos,NO,Cta Ahorros
CANAL_6,DISPOSIT_4,369.0,607.0,Logueo Para Transacciones,Logueo Para Transacciones,No Financiera,Autenticacion,Clave Bloqueada,Tecnicamente Exitosa,Autenticaciones,NO,Sin producto
CANAL_5,DISPOSIT_4,486.0,333.0,Inscripcion De Cuentas,Inscripcion De Cuentas De Otros Bancos,No Financiera,Inscripciones,El Pago Ya Existe,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_6,DISPOSIT_4,3300.0,112.0,Validacion codigo de seguridad,Validacion codigo de seguridad,No considerar,Claves,Codigo de seguridad no valido.,Tecnicamente Exitosa,NA,NO,Sin producto
CANAL_4,DISPOSIT_9,381.0,205.0,Cambio De Clave,Cambio De Clave,No Financiera,Claves,La Clave Del Usuario A Crear Debe Ser De 8 Digitos,Tecnicamente Exitosa,Cambio de Claves,NO,Sin producto
CANAL_5,DISPOSIT_4,532.0,239.0,Consulta De Facturas,Consulta De Facturas De Servicios Personales Desde Cuenta De Ahorros.,No considerar,No considerar,Valor A Pagar En Cero. Por Favor Intente Mas Tarde,No considerar,NA,NO,Cta Ahorros
CANAL_4,DISPOSIT_9,381.0,130.0,Cambio De Clave,Cambio De Clave,No Financiera,Claves,El Usuario Se Encuentra Bloqueado,Tecnicamente Exitosa,Cambio de Claves,NO,Sin producto
CANAL_5,DISPOSIT_4,486.0,910.0,Inscripcion De Cuentas,Inscripcion De Cuentas De Otros Bancos,No Financiera,Inscripciones,Tipo De Documento Beneficiario No Es V┴Lido,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_2,DISPOSIT_13,412.0,153.0,Bloqueo De Primera Clave,Bloqueo De Clave,No Financiera,Claves,Transaccion No Efectuada.  Por Favor Intente Mas Tarde,No Exitosa,Bloqueos,SI,Sin producto
CANAL_2,DISPOSIT_5,64.0,410.0,Inscripcion De Cuentas,Inscripcion Cuentas Bancolombia,No Financiera,Inscripciones,Fid: Monto De Retiro Superior Al Tope M xim,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_2,DISPOSIT_11,460.0,0.0,Consulta De Saldo Deposito,Consulta De Saldos Cuenta Corriente,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Cta Corriente
CANAL_2,DISPOSIT_10,604.0,602.0,Validacion De Segunda Clave,Validacion De Segunda Clave,No considerar,No considerar,Usted No Posee Segunda Clave,No considerar,NA,NO,Sin producto
CANAL_6,DISPOSIT_4,1538.0,31.0,Transferencias Cuenta Nequi,Transferencias Cuenta Nequi,Financiera,Transferencias de fondos,Identificacion Ingresada No Corresponde Al Titular Del Encargo,Tecnicamente Exitosa,Transferencias,NO,Nequi
CANAL_4,DISPOSIT_9,549.0,0.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Financiera,Transferencias de fondos,Transaccion Exitosa,Exitosa,Transferencias,NA,Inversiones
CANAL_5,DISPOSIT_4,4600.0,90.0,Validacion OTP,Validacion OTP,No considerar,Claves,En este momento el sistema no esta disponible. Intente mas tarde,No Exitosa,NA,SI,Sin producto
CANAL_5,DISPOSIT_4,489.0,700.0,Inactivacion Cuentas,Inactivacion De Cuentas De Otros Bancos,No Financiera,Eliminaciones,#N/A Pendiente De Respuesta,No Exitosa,Eliminaciones,SI,Sin producto
CANAL_4,DISPOSIT_9,383.0,130.0,Regeneracion de Clave,Regeneracion De Clave Por Olvido,No Financiera,Claves,El Usuario Se Encuentra Bloqueado,Tecnicamente Exitosa,Claves,NO,Sin producto
CANAL_2,DISPOSIT_13,453.0,8.0,Bloqueo De Claves Y Tarjetas,Bloqueo De Claves Y Tarjetas,No Financiera,Claves,Tarjeta No Autorizada A La Solicitud,No Exitosa,Bloqueos,NO,Sin producto
CANAL_1,DISPOSIT_2,558.0,44.0,Envio de Dinero,Envio de Dinero,Financiera,Transferencias de fondos,Traslado No Efectuado,No Exitosa,Transferencias,NO,Ahorro a la mano
CANAL_1,DISPOSIT_2,530.0,83.0,Pago De Facturas,Pago sin Validacion de Base de datos App ALM,Financiera,Pago de facturas,Pago Valor Por Encima De Tope Permitido.,Tecnicamente Exitosa,Pagos,NO,Ahorro a la mano
CANAL_6,DISPOSIT_4,532.0,239.0,Consulta De Facturas,Consulta De Facturas De Servicios Personales Desde Cuenta De Ahorros.,No considerar,No considerar,Valor A Pagar En Cero. Por Favor Intente Mas Tarde,No considerar,NA,NO,Cta Ahorros
CANAL_2,DISPOSIT_5,5.0,52.0,Consulta De Saldo Deposito,Consulta De Saldo Cuenta Ahorros Asociada,No Financiera,Consultas / Movimientos / Extractos,Clave No Valida,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Cta Ahorros
CANAL_2,DISPOSIT_5,26.0,568.0,Desembolso Desde Cupo De Credito,Desembolso Desde Cupo De Credito Audioprestamo,Financiera,Utilizacion de cupo de credito,#N/A Pendiente De Respuesta,No Exitosa,Utilizacion de cupo de credito,SI,Audioprestamo
CANAL_5,DISPOSIT_4,485.0,909.0,Inscripcion De Cuentas,Inscripcion Cuentas Bancolombia,No Financiera,Inscripciones,Nit Beneficiario No V┴Lido,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_5,DISPOSIT_4,426.0,0.0,Apertura Inversion Virtual,Apertura Inversion Virtual Desde Cuenta Corriente,Financiera,Apertura de productos,Transaccion Exitosa,Exitosa,Apertura de productos,NA,Inversiones
CANAL_2,DISPOSIT_11,345.0,96.0,Consulta De Saldo Prestamos,Consulta De Saldos Prestamos,No Financiera,Consultas / Movimientos / Extractos,"Crediagil No Disponible, Por Favor Solicitelo",Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Creditos
CANAL_2,DISPOSIT_10,539.0,27.0,Transferencia A Inversion Fiduciaria,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Financiera,Transferencias de fondos,Funcion No Autorizada A La Tarjeta Sobre La Cuenta,No Exitosa,Transferencias,NO,Inversiones
CANAL_2,DISPOSIT_13,127.0,7.0,Consultar Informacion Cliente (Consultar Historial),Consultar Informacion Cliente (Consultar Historial),No Financiera,Consulta de datos generales de clientes,Documento No Tiene La Tarjeta Solicitada Inscrita (Destino),Tecnicamente Exitosa,Consulta de datos generales de clientes,NO,Sin producto
CANAL_5,DISPOSIT_4,539.0,446.0,Transferencia A Inversion Fiduciaria,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Financiera,Transferencias de fondos,Fid: Fecha De Operaci N Menor A La Fecha De Vencimiento D,No Exitosa,Transferencias,NO,Inversiones
CANAL_5,DISPOSIT_4,532.0,240.0,Consulta De Facturas,Consulta De Facturas De Servicios Personales Desde Cuenta De Ahorros.,No considerar,No considerar,La Base De Datos No Se Encuentra Disponible,No considerar,NA,SI,Cta Ahorros
CANAL_2,DISPOSIT_5,54.0,0.0,Cambio De Segunda Clave,Cambio De Segunda Clave,No Financiera,Claves,Transaccion Exitosa,Exitosa,Cambio de Claves,NA,Sin producto
CANAL_5,DISPOSIT_4,235.0,182.0,Consulta de cuentas disponibles para abonar giros recibidos,Consulta de cuentas disponibles para abonar giros recibidos,No Financiera,Consultas / Movimientos / Extractos,La Transferencia Supera El Cupo Disponible,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,remesas
CANAL_5,DISPOSIT_4,117.0,775.0,Inscripcion Al Servicio De Alertas,Inscripcion Al Servicio De Alertas,No Financiera,Actualizaciones,Correo Electr Nico Inv lido,Tecnicamente Exitosa,Actualizaciones,NO,Sin producto
CANAL_4,DISPOSIT_9,533.0,30.0,Pago De Facturas,Pago Facturanet Desde Cuenta De Ahorros,Financiera,Pago de facturas,Disponible Insuficiente En Cuenta A Debitar,Tecnicamente Exitosa,Pagos,NO,Facturanet
CANAL_2,DISPOSIT_13,327.0,5.0,Evidente para Enrolamiento OTP,Evidente para Enrolamiento OTP,No considerar,Claves,Respuesta No Conocida,No Exitosa,NA,SI,Sin producto
CANAL_5,DISPOSIT_4,431.0,240.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta Corriente,Financiera,Pago de facturas,La Base De Datos No Se Encuentra Disponible,No Exitosa,Pagos,SI,Cta Corriente
CANAL_3,DISPOSIT_6,604.0,613.0,Validacion De Segunda Clave,Validacion De Segunda Clave,No Financiera,Claves,Segunda Clave No Valida,Tecnicamente Exitosa,Validaciones,NO,Sin producto
CANAL_2,DISPOSIT_13,888.0,161.0,Consulta De Costo De La Transaccion,Consulta De Costo De La Transaccion,No considerar,No considerar,Archivo Wwwfftodas Ocupado,No Exitosa,NA,SI,Sin producto
CANAL_2,DISPOSIT_11,260.0,50.0,Consulta De Saldo Tarjetas,Consulta saldos tarjetas propias Bancolombia,No Financiera,Consultas / Movimientos / Extractos,Cuenta No Existe,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Tarjeta Debito
CANAL_4,DISPOSIT_9,1001.0,0.0,Validacion De Horario Para Inscripcion De Cuentas,Validacion De Horario Para Inscripcion De Cuentas,No considerar,No considerar,Transaccion Exitosa,No Considerar,NA,NO,Sin producto
CANAL_1,DISPOSIT_2,911.0,8.0,Generacion Pin,Generacion Pin,No Financiera,Claves,Errores En Java,No Exitosa,Claves,SI,Ahorro a la mano
CANAL_5,DISPOSIT_4,4901.0,0.0,Actualizar datos de seguridad OTP,Actualizar datos de seguridad OTP,No Financiera,Claves,Transaccion Exitosa,Exitosa,Claves,NA,Sin producto
CANAL_5,DISPOSIT_4,412.0,0.0,Bloqueo De Primera Clave,Bloqueo de clave para cliente filial,No Financiera,Claves,Transaccion Exitosa,Exitosa,Bloqueos,NA,Inversiones
CANAL_2,DISPOSIT_13,171.0,123.0,Consulta Informacion Token Sve,Consulta Informacion Token Sve,No Financiera,Token,Empresa No Inscrita En Bancolombia,Tecnicamente Exitosa,Token,NO,Token
CANAL_2,DISPOSIT_5,5.0,0.0,Consulta De Saldo Deposito,Consulta De Saldo Cuenta Ahorros Asociada,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Cta Ahorros
CANAL_1,DISPOSIT_12,201.0,822.0,Validacion De Pertenencia De Cuenta,Validacion De Pertenencia De Cuenta,No Financiera,Validaciones de cuentas,Numero De Cuenta Invalido,Tecnicamente Exitosa,Validaciones,NO,Sin producto
